DateTimeUTC,BsR_S12,BbsR_S12,BaCorr2_A13,SSA_700,D3,D24,D27,V_D15,V_D24,Nfrac_coarse
2017-01-05 00:00:00,1.11,0.13,0.23,0.893642907,281.3949841,1.061825211,0.551831182,0.931686678,0.901794555,0.002696299
2017-01-05 01:00:00,2.26,0.3,0.45,0.884853296,280.3619077,1.061992602,0.552016453,0.935063359,0.901756625,0.002701699
2017-01-05 02:00:00,1.96,0.28,0.3,0.912438357,273.8060924,1.062022133,0.551739977,0.934162164,0.901728897,0.002716491
2017-01-05 03:00:00,2.1,0.31,0.3,0.917511267,266.2315522,1.06207663,0.551777645,0.931075162,0.901906494,0.002741
2017-01-05 04:00:00,3.7,0.55,0.44,0.933128923,271.6301435,1.062158176,0.552040205,0.93381941,0.90164502,0.002728935
2017-01-05 05:00:00,2.58,0.26,0.36,0.909087262,269.0698977,1.062320308,0.551882359,0.932502881,0.901871971,0.00273516
2017-01-05 06:00:00,2.55,0.23,0.29,0.934004251,273.8297458,1.062001652,0.551876119,0.931907742,0.901785068,0.002718196
2017-01-05 07:00:00,2.57,0.27,0.29,0.934581789,301.4020677,1.061906375,0.551743793,0.934926972,0.901739046,0.002645396
2017-01-05 08:00:00,2.52,0.32,0.3,0.930209395,291.2213301,1.062034084,0.551966761,0.928847082,0.90189931,0.002667677
2017-01-05 09:00:00,2.07,0.27,0.24,0.927717135,325.7698431,1.061945282,0.551772528,0.933806178,0.901707064,0.002578718
2017-01-05 10:00:00,2.99,0.27,0.49,0.902624395,277.5721719,1.062017366,0.551917475,0.93496732,0.901796904,0.002710399
2017-01-05 11:00:00,3.04,0.29,0.38,0.924728921,274.6887227,1.06230397,0.55187081,0.930275437,0.901866814,0.002715811
2017-01-05 12:00:00,3.16,0.41,0.46,0.912181221,226.4775499,1.286230959,0.681804617,0.245165322,1.08920877,0.009467933
2017-01-05 13:00:00,2.0,0.32,0.25,0.938180624,95.20415251,1.907371754,0.520723704,0.228611849,1.616905495,0.01236596
2017-01-05 14:00:00,2.1,0.32,0.28,0.929055536,132.0938318,1.678094533,0.658582757,0.348753653,1.434907859,0.010509025
2017-01-05 15:00:00,1.9,0.21,0.29,0.918288358,175.1229674,0.998512286,0.368659411,0.434625783,0.855967896,0.005142814
2017-01-05 16:00:00,1.72,0.21,0.47,0.855269845,310.5419536,0.667876088,0.382815478,0.655927993,0.570344266,0.002363186
2017-01-05 17:00:00,2.78,0.44,0.6,0.883841757,266.8293247,0.424254904,0.192674679,0.855774524,0.35495698,0.002366371
